cve_asenta|nom_clave|nom_asenta|nom_tipo_asenta|nom_agem|nom_agee|nom_ciudad|cve_agee|cve_oficina|cve_tipo_asenta|cve_agem|nom_zona|cve_ciudad
"0001"|"50000"|"Centro"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Urbano"|"20"
"0002"|"50010"|"Los Girasoles IV"|"Fraccionamiento"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"21"|"106"|"Urbano"|"20"
"0003"|"50010"|"Universidad"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Urbano"|"20"
"0004"|"50010"|"Del Panteón"|"Barrio"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"2"|"106"|"Urbano"|"20"
"0005"|"50010"|"Celanese"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Urbano"|"20"
"0006"|"50010"|"Guadalupe"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Urbano"|"20"
"0007"|"50010"|"Los Girasoles III"|"Fraccionamiento"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"21"|"106"|"Urbano"|"20"
"0008"|"50010"|"Tlacopa"|"Barrio"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"2"|"106"|"Urbano"|"20"
"0009"|"50010"|"Galaxias de San Lorenzo"|"Fraccionamiento"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"21"|"106"|"Rural"|"20"
"0010"|"50010"|"Club Jardín"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Urbano"|"20"
"0011"|"50010"|"El Balcón"|"Colonia"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"9"|"106"|"Rural"|"20"
"0012"|"50010"|"Los Girasoles"|"Fraccionamiento"|"Toluca"|"México"|"Toluca de Lerdo"|"15"|"50091"|"21"|"106"|"Urbano"|"20"
