orden|jerarquia|nivel|funcional
"001"|"ENLACE Y APOYO TÉCNICO"|"28"|"ANALISTA ESPECIALIZADO A"
"002"|"ENLACE Y APOYO TÉCNICO"|"27"|"ANALISTA ESPECIALIZADO B"
"003"|"ENLACE Y APOYO TÉCNICO"|"26"|"ASESOR"
"004"|"ENLACE Y APOYO TÉCNICO"|"26"|"ANALISTA ESPECIALIZADO C"
"005"|"ENLACE Y APOYO TÉCNICO"|"25"|"LÍDER A DE PROYECTO"
"006"|"ENLACE Y APOYO TÉCNICO"|"24"|"INSPECTOR PROYECTISTA"
"007"|"ENLACE Y APOYO TÉCNICO"|"24"|"SECRETARIA DEL PRESIDENTE"
"008"|"ENLACE Y APOYO TÉCNICO"|"24"|"JEFE A DE PROYECTO"
"009"|"Mandos Superiores"|"31"|"PRESIDENTE DE LA CODHEM"
"010"|"Mandos Superiores"|"29"|"PRIMER VISITADOR GENERAL DE LA CODHEM"
"011"|"Mandos Superiores"|"29"|"SECRETARIO GENERAL DE LA CODHEM"
"012"|"Mandos Superiores"|"29"|"DIRECTOR GENERAL"
"013"|"Mandos Medios"|"28"|"VISITADOR GENERAL DE LA CODHEM"
"014"|"Mandos Medios"|"28"|"DIRECTOR DE ÁREA"
"015"|"Mandos Medios"|"28"|"SECRETARIO PARTICULAR DEL PRESIDENTE DE LA CODHEM"
"016"|"Mandos Medios"|"27"|"VISITADOR ADJUNTO DE LA CODHEM"
"017"|"Mandos Medios"|"27"|"SUBDIRECTOR"
"018"|"Mandos Medios"|"26"|"JEFE DE DEPARTAMENTO"
"019"|"Administrativa"|"23"|"AUXILIAR ADMINISTRATIVO DE S.P.S."
"020"|"Administrativa"|"23"|"JEFE DE ÁREA"
"021"|"Administrativa"|"22"|"LÍDER B DE PROYECTO"
"022"|"Administrativa"|"21"|"LÍDER C DE PROYECTO"
"023"|"Administrativa"|"20"|"JEFE B DE PROYECTO"
"024"|"Administrativa"|"18"|"ANALISTA A"
"025"|"Administrativa"|"17"|"ANALISTA B"
"026"|"Administrativa"|"15"|"ANALISTA C"
"027"|"Administrativa"|"11"|"COTIZADOR"
"028"|"Administrativa"|"11"|"ANALISTA AUXILIAR"
"029"|"Administrativa"|"8"|"AUX MANTENIMIENTO GENERAL"
"030"|"Administrativa"|"8"|"AUX ADMINISTRATIVO"
"031"|"Administrativa"|"5"|"CAPTURISTA"
"032"|"Secretarial"|"22"|"SECRETARIA DE OFICINA DE S.P.S."
"033"|"Secretarial"|"19"|"SECRETARIA A"
"034"|"Secretarial"|"17"|"SECRETARIA B"
"035"|"Secretarial"|"13"|"SECRETARIA C"
"036"|"Secretarial"|"9"|"SECRETARIA D"
"037"|"Apoyo Administrativo"|"18"|"NOTIFICADOR DE LA CODHEM"
"038"|"Transporte"|"22"|"CHOFER DE S.P.S."
"039"|"Transporte"|"11"|"CHOFER ASISTENTE"
