orden|jerarquia|nivel|funcional
"001"|"SERVIDOR PUBLICO"|"NYIXH"|"Analista"
"002"|"SERVIDOR PUBLICO"|"64RIZ"|"Analista 'D'"
"003"|"SERVIDOR PUBLICO"|"0MAG0"|"Analista Auxiliar"
"004"|"SERVIDOR PUBLICO"|"YQJEI"|"Analista de Ofertas"
"005"|"SERVIDOR PUBLICO"|"ODOHN"|"Analista Especializado"
"006"|"SERVIDOR PUBLICO"|"VGWTZ"|"Analista Financiero"
"007"|"SERVIDOR PUBLICO"|"9K4S9"|"Apoyo a las Adquisiciones"
"008"|"SERVIDOR PUBLICO"|"EKGI2"|"Apoyo Administrativo"
"009"|"SERVIDOR PUBLICO"|"HNDJ4"|"Apoyo Administrativo en Salud"
"010"|"SERVIDOR PUBLICO"|"RAXJ3"|"Asesor"
"011"|"SERVIDOR PUBLICO"|"PFVKP"|"Asesor Academico"
"012"|"SERVIDOR PUBLICO"|"TVZ94"|"Asesor de la Unidad de Administración y Finanzas"
"013"|"SERVIDOR PUBLICO"|"0L3AS"|"Asesor Tecnico"
"014"|"SERVIDOR PUBLICO"|"2BT1Q"|"Auxiliar Academico"
"015"|"SERVIDOR PUBLICO"|"07G26"|"Auxiliar Administrativa,o"
"016"|"SERVIDOR PUBLICO"|"ADM2A"|"Auxiliar en Arrendamiento de Inmuebles"
"017"|"SERVIDOR PUBLICO"|"EPX3V"|"Auxiliar Tecnico Administrativo"
"018"|"SERVIDOR PUBLICO"|"P3JUK"|"Auxiliar Tecnico Juridico"
"019"|"SERVIDOR PUBLICO"|"AYV16"|"Contrataciones Publicas"
"020"|"SERVIDOR PUBLICO"|"JX9IZ"|"Coordinador"
"021"|"SERVIDOR PUBLICO"|"UGCC5"|"Coordinador Administrativo del Área de Adquisiciones"
"022"|"SERVIDOR PUBLICO"|"RFXF7"|"Coordinador de Administración y Finanzas"
"023"|"SERVIDOR PUBLICO"|"PUYKJ"|"Coordinador de Estudios y Proyectos Especiales"
"024"|"SERVIDOR PUBLICO"|"WSY2Y"|"Coordinador de Política Regional"
"025"|"SERVIDOR PUBLICO"|"IAQLX"|"Coordinador de Recursos Humanos y Materiales"
"026"|"SERVIDOR PUBLICO"|"569XM"|"Coordinador de Salud"
"027"|"SERVIDOR PUBLICO"|"QEC4Y"|"Coordinador Planeación Programación"
"028"|"SERVIDOR PUBLICO"|"G1ES0"|"Coordinadora de Programa"
"029"|"SERVIDOR PUBLICO"|"6M3H8"|"Coordinadora Juridica y de Legislacion"
"030"|"SERVIDOR PUBLICO"|"143LB"|"Delegada Administrativa"
"031"|"SERVIDOR PUBLICO"|"GYGIA"|"Delegado Administrativo"
"032"|"SERVIDOR PUBLICO"|"4K08I"|"Director"
