orden|jerarquia|nivel|funcional
"001"|"DIRECTIVOS"|"1"|"RECTOR"
"002"|"DIRECTIVOS"|"2"|"SECRETARIAADMINISTRACIÓN CENTRAL"
"003"|"DIRECTIVOS"|"2"|"SECRETARIO ADMINISTRACION CENTRAL"
"004"|"DIRECTIVOS"|"2A"|"SECRETARIO DE ADMINISTRACIÓN CENTRAL 'A'"
"005"|"DIRECTIVOS"|"2B"|"SECRETARIO DE ADMINISTRACIÓN CENTRAL 'B'"
"006"|"DIRECTIVOS"|"2C"|"SECRETARIO DE ADMINISTRACIÓN CENTRAL 'C'"
"007"|"DIRECTIVOS"|"2D"|"SECRETARIO DE ADMINISTRACIÓN CENTRAL 'D'"
"008"|"DIRECTIVOS"|"5A"|"SECRETARIO PARTICULAR ADJUNTO DEL RECTOR"
"009"|"DIRECTIVOS"|"5B"|"SECRETARIO PARTICULAR DEL RECTOR"
"010"|"DIRECTIVOS"|"3"|"DIRECCIÓN DE PROGRAMACIÓN Y CONTROL PRESUPUESTAL"
"011"|"DIRECTIVOS"|"3"|"DIRECCIÓN DE RECURSOS FINANCIEROS"
"012"|"DIRECTIVOS"|"3"|"DIRECCIÓN DE RECURSOS HUMANOS"
"013"|"DIRECTIVOS"|"3"|"DIRECCIÓN DE RECURSOS MATERIALES"
"014"|"DIRECTIVOS"|"4"|"DIRECTOR DE EDUCACIÓN SUPERIOR 'A'"
"015"|"DIRECTIVOS"|"4"|"DIRECTOR DE EDUCACIÓN SUPERIOR 'B'"
"016"|"DIRECTIVOS"|"4"|"DIRECTOR DE EDUCACIÓN SUPERIOR 'C'"
"017"|"DIRECTIVOS"|"4"|"DIRECTOR DE EDUCACIÓN SUPERIOR 'D'"
"018"|"DIRECTIVOS"|"6"|"DIRECTOR'A'ESCUELA O FACULTAD"
"019"|"DIRECTIVOS"|"6"|"DIRECTOR DE EDUCACIÓN MEDIA SUPERIOR 'A'"
"020"|"DIRECTIVOS"|"6"|"DIRECTOR DE EDUCACIÓN MEDIA SUPERIOR 'B'"
"021"|"DIRECTIVOS"|"6"|"DIRECTOR DE EDUCACIÓN MEDIA SUPERIOR 'C'"
"022"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'A'ADMINISTRATIVO"
"023"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'B'ADMINISTRATIVO"
"024"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'C'ADMINISTRATIVO"
"025"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'D'ADMINISTRATIVO"
"026"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'E'ADMINISTRATIVO"
