clave|valor
11|"Legislación"
12|"Justicia"
13|"Coordinación de la Política de Gobierno"
14|"Relaciones Exteriores"
15|"Asuntos Financieros y Hacendarios"
17|"Asuntos de Orden Público y de Seguridad Interior"
18|"Otros Servicios Generales"
21|"Protección Ambiental"
22|"Vivienda y Servicios a la Comunidad"
23|"Salud"
24|"Recreación, Cultura y Otras Manifestaciones Sociales"
25|"Educación"
26|"Protección Social"
31|"Asuntos Económicos, Comerciales y laborales en General"
32|"Agropecuaria, Silvicultura, Pesca y Caza"
33|"Combustibles y Energía"
34|"Minería, Manufacturas y Construcción"
35|"Transporte"
36|"Comunicaciones"
37|"Turismo"
38|"Ciencia, Tecnología e Innovación"
39|"Otras Industrias y Otros Asuntos Económicos"
41|"Transacciones de la deuda Pública / Costo Financiero de la deuda"
42|"Transferencias, Participaciones y Aportaciones entre diferentes niveles y órdenes de Gobierno"
44|"Adeudos de Ejercicios Fiscales anteriores"
51|"Fondo general de previsiones salariales y económicas"
52|"Fondo general para el pago del impuesto sobre erogaciones por remuneraciones al trabajo personal"
