categoria|seccion|clave|valor
""|"planning"|"plannedProcurementNotice"|"Aviso de compra planeada"
"basic"|"tender"|"tenderNotice"|"Aviso de licitación"
"basic"|"award"|"awardNotice"|"Aviso de adjudicación"
"basic"|"contract"|"contractNotice"|"Aviso de contrato"
"basic"|"implementation"|"completionCertificate"|"Certificado de terminación"
"basic"|"planning"|"procurementPlan"|"Plan de adquisiciones"
"basic"|"tender"|"biddingDocuments"|"Documentos de ofertas"
"basic"|"tender"|"technicalSpecifications"|"Especificaciones técnicas"
"basic"|"tender"|"evaluationCriteria"|"Criterios de evaluación"
"intermediate"|"tender"|"evaluationReports"|"Reporte de evaluación"
"intermediate"|"tender, award"|"contractDraft"|"Borrador de contrato"
"intermediate"|"contract"|"contractSigned"|"Contrato firmado"
"intermediate"|"tender, award, contract"|"contractArrangements"|"Arreglos para finalizar un contrato"
"intermediate"|"tender, award, contract"|"contractSchedule"|"Calendario del contrato"
"intermediate"|"implementation"|"physicalProgressReport"|"Reportes de progreso físico"
"intermediate"|"implementation"|"financialProgressReport"|"Reportes de progreso financiero"
"intermediate"|"implementation"|"finalAudit"|"Auditoría final"
"intermediate"|"tender"|"hearingNotice"|"Aviso de audiencia pública"
"intermediate"|"planning"|"marketStudies"|"Estudios de mercado"
"intermediate"|"tender"|"eligibilityCriteria"|"Criterios de elegibilidad"
"intermediate"|"tender"|"clarifications"|"Aclaraciones a las preguntas de los licitantes"
"intermediate"|"tender"|"shortlistedFirms"|"Empresas preseleccionadas"
"advanced"|"planning, implementation"|"environmentalImpact"|"Impacto medioambiental"
"advanced"|"planning"|"assetAndLiabilityAssessment"|"Evaluación de los activos y responsabilidades del gobierno"
"advanced"|"planning"|"riskProvisions"|"Cláusulas para el manejo de riesgos y responsabilidades"
"advanced"|"award"|"winningBid"|"Oferta ganadora"
"advanced"|"tender, award"|"complaints"|"Quejas y decisiones"
"advanced"|"contract"|"contractAnnexe"|"Anexos al contrato"
"advanced"|"tender, contract"|"contractGuarantees"|"Garantías"
"advanced"|"contract"|"subContract"|"Subcontratos"
"advanced"|"planning"|"needsAssessment"|"Evaluación de necesidades"
"advanced"|"planning"|"feasibilityStudy"|"Estudio de factibilidad"
"advanced"|"planning"|"projectPlan"|"Plan de proyecto"
"advanced"|"tender"|"billOfQuantity"|"Factura de cantidad"
"advanced"|"tender, bidder"|"bidders"|"Información de Licitante"
"advanced"|"tender, award, contract, implementation"|"conflictOfInterest"|"Conflicto de interés"
"advanced"|"implementation"|"debarments"|"Inhabilitaciones"
"advanced"|"tender, bid, contract, implementation"|"illustration"|"Ilustraciones"
"advanced"|"bid, award, contract"|"submissionDocuments"|"Documentos de presentación de oferta"
"advanced"|"contract"|"contractSummary"|"Resúmen del contrato"
"advanced"|"tender, award, contract, implementation"|"cancellationDetails"|"Detalles de cancelación"
